T, N_Cu_A, N_Zn_A, N_Cu_B, N_Zn_B, Accepted ratio, Accepted ratio equilibrium
300.000000, 999, 1, 1, 999, 0.005335, 0.003804
310.000000, 998, 2, 2, 998, 0.003640, 0.004040
320.000000, 997, 3, 3, 997, 0.006196, 0.004890
330.000000, 997, 3, 3, 997, 0.008485, 0.005300
340.000000, 997, 3, 3, 997, 0.009556, 0.007244
350.000000, 995, 5, 5, 995, 0.010610, 0.009608
360.000000, 990, 10, 10, 990, 0.012901, 0.009070
370.000000, 988, 12, 12, 988, 0.015106, 0.010094
380.000000, 992, 8, 8, 992, 0.017668, 0.011462
390.000000, 986, 14, 14, 986, 0.019079, 0.015794
400.000000, 989, 11, 11, 989, 0.021185, 0.018980
410.000000, 985, 15, 15, 985, 0.022781, 0.021192
420.000000, 981, 19, 19, 981, 0.025778, 0.025218
430.000000, 987, 13, 13, 987, 0.030752, 0.025004
440.000000, 979, 21, 21, 979, 0.032300, 0.030976
450.000000, 977, 23, 23, 977, 0.034643, 0.032428
460.000000, 977, 23, 23, 977, 0.039405, 0.036770
470.000000, 969, 31, 31, 969, 0.044543, 0.042234
480.000000, 971, 29, 29, 971, 0.048357, 0.046076
490.000000, 956, 44, 44, 956, 0.053049, 0.050998
500.000000, 970, 30, 30, 970, 0.059018, 0.053224
510.000000, 943, 57, 57, 943, 0.064222, 0.060464
520.000000, 960, 40, 40, 960, 0.067194, 0.063606
530.000000, 959, 41, 41, 959, 0.073196, 0.068908
540.000000, 949, 51, 51, 949, 0.080826, 0.073100
550.000000, 949, 51, 51, 949, 0.087567, 0.084312
560.000000, 935, 65, 65, 935, 0.092260, 0.090190
570.000000, 923, 77, 77, 923, 0.098683, 0.097012
580.000000, 922, 78, 78, 922, 0.111165, 0.104302
590.000000, 904, 96, 96, 904, 0.114528, 0.112382
600.000000, 889, 111, 111, 889, 0.129705, 0.113540
610.000000, 915, 85, 85, 915, 0.135256, 0.130905
620.000000, 894, 106, 106, 894, 0.147401, 0.138055
630.000000, 882, 118, 118, 882, 0.160180, 0.143980
640.000000, 878, 122, 122, 878, 0.171408, 0.159095
650.000000, 861, 139, 139, 861, 0.185571, 0.173515
660.000000, 832, 168, 168, 832, 0.205618, 0.183720
670.000000, 817, 183, 183, 817, 0.224818, 0.195320
680.000000, 817, 183, 183, 817, 0.253311, 0.224405
690.000000, 778, 222, 222, 778, 0.287940, 0.251495
700.000000, 722, 278, 278, 722, 0.299116, 0.276000
710.000000, 666, 334, 334, 666, 0.341301, 0.280335
720.000000, 723, 277, 277, 723, 0.370167, 0.307300
730.000000, 380, 620, 620, 380, 0.414111, 0.345670
740.000000, 319, 681, 681, 319, 0.432350, 0.368680
750.000000, 419, 581, 581, 419, 0.450101, 0.418910
760.000000, 418, 582, 582, 418, 0.465001, 0.412575
770.000000, 498, 502, 502, 498, 0.471046, 0.437185
780.000000, 445, 555, 555, 445, 0.482450, 0.452215
790.000000, 501, 499, 499, 501, 0.491561, 0.455325
800.000000, 575, 425, 425, 575, 0.505564, 0.478490
810.000000, 512, 488, 488, 512, 0.515506, 0.485675
820.000000, 509, 491, 491, 509, 0.519638, 0.491545
830.000000, 446, 554, 554, 446, 0.526711, 0.495015
840.000000, 563, 437, 437, 563, 0.537021, 0.507675
850.000000, 523, 477, 477, 523, 0.543881, 0.514970
860.000000, 594, 406, 406, 594, 0.548354, 0.526285
870.000000, 493, 507, 507, 493, 0.557714, 0.530505
880.000000, 563, 437, 437, 563, 0.561620, 0.540035
890.000000, 472, 528, 528, 472, 0.568311, 0.545800
900.000000, 484, 516, 516, 484, 0.573441, 0.550425
910.000000, 514, 486, 486, 514, 0.579016, 0.560930
920.000000, 502, 498, 498, 502, 0.586059, 0.567515
930.000000, 486, 514, 514, 486, 0.590391, 0.569480
940.000000, 561, 439, 439, 561, 0.595577, 0.579005
950.000000, 494, 506, 506, 494, 0.599850, 0.582595
960.000000, 487, 513, 513, 487, 0.603930, 0.584480
970.000000, 488, 512, 512, 488, 0.611794, 0.591805
980.000000, 482, 518, 518, 482, 0.615015, 0.601470
990.000000, 533, 467, 467, 533, 0.618224, 0.602830
1000.000000, 487, 513, 513, 487, 0.622594, 0.607580
