T, N_Cu_A, N_CuZn, Accepted ratio, Accepted ratio equilibrium
300.000000, 998, 7968, 0.005391, 0.001520
310.000000, 999, 7984, 0.003721, 0.002317
320.000000, 998, 7968, 0.005922, 0.002807
330.000000, 997, 7952, 0.008328, 0.004703
340.000000, 992, 7876, 0.010179, 0.008377
350.000000, 995, 7920, 0.010569, 0.009283
360.000000, 992, 7874, 0.012563, 0.008120
370.000000, 991, 7862, 0.015045, 0.011527
380.000000, 990, 7844, 0.016987, 0.011107
390.000000, 993, 7888, 0.016474, 0.014600
400.000000, 990, 7848, 0.022873, 0.018057
410.000000, 989, 7830, 0.023155, 0.015947
420.000000, 982, 7722, 0.025990, 0.020367
430.000000, 983, 7738, 0.031416, 0.029057
440.000000, 980, 7708, 0.032790, 0.027503
450.000000, 974, 7612, 0.035932, 0.029123
460.000000, 976, 7630, 0.039528, 0.034417
470.000000, 972, 7582, 0.043361, 0.037100
480.000000, 970, 7554, 0.047574, 0.042973
490.000000, 957, 7372, 0.051611, 0.048360
500.000000, 963, 7454, 0.057762, 0.057480
510.000000, 950, 7310, 0.063376, 0.059270
520.000000, 949, 7272, 0.065290, 0.064000
530.000000, 957, 7388, 0.073688, 0.066507
540.000000, 939, 7150, 0.080316, 0.073430
550.000000, 934, 7050, 0.086337, 0.079687
560.000000, 936, 7102, 0.094313, 0.092740
570.000000, 932, 7058, 0.099562, 0.089453
580.000000, 908, 6774, 0.108611, 0.106480
590.000000, 919, 6902, 0.119597, 0.111770
600.000000, 885, 6512, 0.126304, 0.110670
610.000000, 904, 6760, 0.136462, 0.122770
620.000000, 865, 6350, 0.150677, 0.129570
630.000000, 878, 6418, 0.157574, 0.125680
640.000000, 865, 6292, 0.167927, 0.158730
650.000000, 864, 6332, 0.187352, 0.152500
660.000000, 874, 6418, 0.204863, 0.176950
670.000000, 820, 5888, 0.226854, 0.188690
680.000000, 789, 5782, 0.254405, 0.202350
690.000000, 804, 5874, 0.268914, 0.217380
700.000000, 740, 5614, 0.295881, 0.240120
710.000000, 606, 5090, 0.339407, 0.263310
720.000000, 709, 5382, 0.398834, 0.259860
730.000000, 625, 4948, 0.405386, 0.336560
740.000000, 464, 4974, 0.437186, 0.359590
750.000000, 585, 4954, 0.455482, 0.339510
760.000000, 546, 4840, 0.464354, 0.386350
770.000000, 576, 4894, 0.473748, 0.404610
780.000000, 600, 4916, 0.487222, 0.403440
790.000000, 414, 4822, 0.491449, 0.427800
800.000000, 468, 4796, 0.503498, 0.444480
810.000000, 483, 4714, 0.513568, 0.453100
820.000000, 511, 4876, 0.520991, 0.465050
830.000000, 497, 4704, 0.529621, 0.461350
840.000000, 515, 4672, 0.536239, 0.486900
850.000000, 469, 4792, 0.542147, 0.480500
860.000000, 532, 4594, 0.548769, 0.506540
870.000000, 504, 4664, 0.555014, 0.513380
880.000000, 472, 4672, 0.561854, 0.516030
890.000000, 485, 4586, 0.566846, 0.531180
900.000000, 487, 4642, 0.574149, 0.539930
910.000000, 542, 4582, 0.580558, 0.541000
920.000000, 515, 4562, 0.585305, 0.551520
930.000000, 479, 4710, 0.589549, 0.546060
940.000000, 498, 4572, 0.596423, 0.556790
950.000000, 465, 4486, 0.600067, 0.565030
960.000000, 522, 4512, 0.604820, 0.574760
970.000000, 507, 4514, 0.610507, 0.578470
980.000000, 476, 4608, 0.614907, 0.575630
990.000000, 561, 4572, 0.618861, 0.587440
1000.000000, 500, 4614, 0.624349, 0.600820
